start_time,end_time,frequency,pitch
3.46,3.5,229.74023213403103,57.75
3.5,3.52,226.44649206156825,57.49999999999999
3.52,3.54,229.74023213403103,57.75
3.54,3.58,236.4721347825532,58.24999999999999
4.26,4.4,257.8746915402353,59.74999999999999
4.4,4.44,261.6255653005986,60.0
4.44,4.5,265.4309967761148,60.249999999999986
4.5,4.6,261.6255653005986,60.0
4.6,4.7,257.8746915402353,59.74999999999999
4.7,4.72,261.6255653005986,60.0
4.72,4.78,265.4309967761148,60.249999999999986
4.78,4.82,261.6255653005986,60.0
4.82,4.88,257.8746915402353,59.74999999999999
4.88,4.92,261.6255653005986,60.0
4.92,5.06,265.4309967761148,60.249999999999986
5.06,5.2,261.6255653005986,60.0
5.2,5.24,265.4309967761148,60.249999999999986
5.24,5.26,269.2917795270241,60.49999999999999
5.26,5.28,281.2143451832947,61.24999999999999
5.28,5.3,285.30470202322215,61.5
5.3,5.34,289.45455447340026,61.749999999999986
5.38,5.42,289.45455447340026,61.749999999999986
5.42,5.44,285.30470202322215,61.5
5.44,5.5,281.2143451832947,61.24999999999999
5.5,5.52,289.45455447340026,61.749999999999986
5.52,5.54,297.93622032611637,62.25
5.54,5.56,302.2698024407796,62.499999999999986
5.56,5.6,306.66641795877985,62.74999999999999
5.6,5.62,302.2698024407796,62.499999999999986
5.62,5.64,289.45455447340026,61.749999999999986
5.64,5.66,285.30470202322215,61.5
5.66,5.7,281.2143451832947,61.24999999999999
5.7,5.74,277.1826309768721,60.999999999999986
5.74,5.78,281.2143451832947,61.24999999999999
5.78,5.8,289.45455447340026,61.749999999999986
5.8,5.82,297.93622032611637,62.25
5.82,5.84,302.2698024407796,62.499999999999986
5.84,5.9,306.66641795877985,62.74999999999999
5.9,5.92,302.2698024407796,62.499999999999986
6.12,6.14,265.4309967761148,60.249999999999986
6.14,6.16,269.2917795270241,60.49999999999999
6.16,6.2,265.4309967761148,60.249999999999986
6.2,6.22,261.6255653005986,60.0
6.22,6.28,257.8746915402353,59.74999999999999
6.28,6.3,261.6255653005986,60.0
6.34,6.38,265.4309967761148,60.249999999999986
6.38,6.42,261.6255653005986,60.0
7.58,7.6,132.7154983880574,48.25
7.6,7.62,130.8127826502993,48.0
7.62,7.64,128.93734577011767,47.74999999999999
7.64,7.72,127.08879665595002,47.5
7.72,7.74,128.93734577011767,47.74999999999999
7.74,7.76,130.8127826502993,48.0
7.76,7.78,132.7154983880574,48.25
7.86,7.88,250.53349964647214,59.249999999999986
7.88,7.9,254.17759331190004,59.5
7.9,7.92,261.6255653005986,60.0
7.92,7.94,269.2917795270241,60.49999999999999
7.94,7.96,277.1826309768721,60.999999999999986
7.96,7.98,281.2143451832947,61.24999999999999
8.0,8.04,297.93622032611637,62.25
8.04,8.06,293.6647679174076,61.99999999999999
8.12,8.16,273.20871865616647,60.75
8.16,8.18,269.2917795270241,60.49999999999999
8.18,8.2,265.4309967761148,60.249999999999986
8.2,8.24,261.6255653005986,60.0
8.28,8.4,265.4309967761148,60.249999999999986
8.4,8.42,269.2917795270241,60.49999999999999
8.42,8.44,297.93622032611637,62.25
8.44,8.46,289.45455447340026,61.749999999999986
8.46,8.48,285.30470202322215,61.5
8.48,8.5,281.2143451832947,61.24999999999999
8.5,8.52,265.4309967761148,60.249999999999986
8.52,8.58,257.8746915402353,59.74999999999999
8.58,8.7,254.17759331190004,59.5
8.7,8.74,250.53349964647214,59.249999999999986
8.74,8.78,229.74023213403103,57.75
8.78,8.8,233.08188075904496,58.0
9.16,9.18,164.81377845643496,52.0
9.18,9.2,167.21105006640263,52.24999999999999
9.2,9.22,169.64319079487348,52.499999999999986
9.22,9.24,172.11070782485513,52.75
9.24,9.28,177.15393651441798,53.25
9.28,9.3,179.73069985652097,53.5
9.3,9.32,182.3449430844896,53.74999999999999
9.32,9.4,187.68805775749541,54.25
9.4,9.44,190.41804342135148,54.49999999999999
9.44,9.56,193.18773764106294,54.75
9.56,9.6,190.41804342135148,54.49999999999999
9.66,9.78,236.4721347825532,58.24999999999999
9.78,9.8,233.08188075904496,58.0
9.8,9.82,229.74023213403103,57.75
9.82,9.84,210.6727217536862,56.25
9.84,9.88,198.84857044604223,55.24999999999999
9.88,9.94,195.99771799087463,55.0
9.94,10.0,193.18773764106294,54.75
10.0,10.04,190.41804342135148,54.49999999999999
10.04,10.06,193.18773764106294,54.75
10.06,10.08,195.99771799087463,55.0
10.08,10.12,198.84857044604223,55.24999999999999
10.12,10.14,195.99771799087463,55.0
10.14,10.16,187.68805775749541,54.25
10.16,10.18,184.9972113558172,54.0
10.18,10.2,182.3449430844896,53.74999999999999
10.2,10.26,179.73069985652097,53.5
10.98,11.02,243.40129723554335,58.75
11.02,11.04,239.91170118635668,58.5
11.04,11.1,236.4721347825532,58.24999999999999
12.3,12.32,501.0669992929443,71.25
