start_time,end_time,frequency,pitch
0.54,0.56,265.4309967761148,60.249999999999986
0.56,0.58,277.1826309768721,60.999999999999986
0.58,0.6,285.30470202322215,61.5
0.6,0.66,302.2698024407796,62.499999999999986
0.66,0.68,297.93622032611637,62.25
0.68,0.7,289.45455447340026,61.749999999999986
0.7,0.74,281.2143451832947,61.24999999999999
0.74,0.8,277.1826309768721,60.999999999999986
0.8,0.84,281.2143451832947,61.24999999999999
0.84,0.86,289.45455447340026,61.749999999999986
0.86,0.88,297.93622032611637,62.25
0.88,0.9,302.2698024407796,62.499999999999986
0.9,0.94,306.66641795877985,62.74999999999999
0.94,0.96,302.2698024407796,62.499999999999986
0.96,1.0,297.93622032611637,62.25
2.3,2.32,285.30470202322215,61.5
2.32,2.38,281.2143451832947,61.24999999999999
2.38,2.42,277.1826309768721,60.999999999999986
2.42,2.44,273.20871865616647,60.75
2.44,2.46,265.4309967761148,60.249999999999986
2.46,2.52,257.8746915402353,59.74999999999999
2.6,2.62,369.9944227116344,66.0
2.62,2.66,364.6898861689792,65.75
2.66,2.7,359.46139971304194,65.49999999999999
2.7,2.74,354.30787302883596,65.25
2.74,2.78,349.2282314330039,65.0
2.78,2.8,344.2214156497103,64.74999999999999
2.8,2.82,339.28638158974695,64.5
2.82,2.98,334.42210013280527,64.25
4.22,4.24,160.12185011264063,51.49999999999999
4.28,4.4,257.8746915402353,59.74999999999999
4.4,4.44,261.6255653005986,60.0
4.44,4.5,265.4309967761148,60.249999999999986
4.5,4.6,261.6255653005986,60.0
4.6,4.68,257.8746915402353,59.74999999999999
4.68,4.72,261.6255653005986,60.0
4.72,4.78,265.4309967761148,60.249999999999986
4.78,4.82,261.6255653005986,60.0
4.82,4.88,257.8746915402353,59.74999999999999
4.88,4.92,261.6255653005986,60.0
4.92,5.06,265.4309967761148,60.249999999999986
5.06,5.18,261.6255653005986,60.0
5.18,5.22,265.4309967761148,60.249999999999986
5.22,5.24,269.2917795270241,60.49999999999999
5.24,5.26,277.1826309768721,60.999999999999986
5.26,5.28,281.2143451832947,61.24999999999999
5.28,5.3,285.30470202322215,61.5
